,grid_res,error_train_u,error_train_v,error_test_u,error_test_v,loss,time,type
0,10,1.5935800019276802,1.0012058640809907,1.5935800019276802,1.0012058640809907,51.926979064941406,76.43588709831238,LV_lam
1,20,1.4669748360811534,1.549585330054715,1.4669748360811534,1.549585330054715,288.2425231933594,52.16658592224121,LV_lam
2,30,1.2331559980009252,1.273544229155561,1.2331559980009252,1.273544229155561,80.02003479003906,65.99850392341614,LV_lam
3,40,1.127224437124114,1.1253397631025759,1.127224437124114,1.1253397631025759,7.834299564361572,164.04701709747314,LV_lam
4,50,1.1380977164282955,1.1260680071601763,1.1380977164282955,1.1260680071601763,5.946564674377441,409.07688999176025,LV_lam
5,60,1.2025064789465432,1.1593698560879975,1.2025064789465432,1.1593698560879975,8.922480583190918,518.9878203868866,LV_lam
6,70,1.1502453715507586,1.1273784572628964,1.1502453715507586,1.1273784572628964,4.104116439819336,806.9344732761383,LV_lam
7,80,1.1291621139378734,1.1269000242357672,1.1291621139378734,1.1269000242357672,6.341900825500488,425.30979013442993,LV_lam
8,90,1.1688629586351404,1.1606080743567797,1.1688629586351404,1.1606080743567797,20.579904556274414,208.2888286113739,LV_lam
