,grid_res,error_adam_train,error_adam_test,error_PSO_train,error_PSO_test,loss_adam,loss_pso,lu_f_adam,lu_f_pso,time_adam,time_pso,type
0,10,0.02472194375546839,0.12114383219909045,0.024568361731467418,0.11867207102533464,1.986924689845182e-05,3.1774027320352616e-07,1.4939883996589742e-08,1.1225042163137688e-12,131.0367169380188,2463.348529815674,burgers1d_PSO
1,20,0.012763036796249407,0.07730485981181066,0.009882276727268697,0.0723104247828196,8.535431697964668e-05,1.76275716512464e-05,5.38337161515301e-08,2.3189909992282765e-09,132.60159182548523,2800.0991575717926,burgers1d_PSO
2,30,0.01747053750963513,0.06535286250916705,0.007579219011130362,0.05677956368726523,0.0002328158589079976,3.8006313843652606e-05,1.840850103462799e-07,8.833564990595733e-09,165.3006992340088,3536.0083587169647,burgers1d_PSO
3,40,0.024830935039394614,0.05584887996925221,0.014002958156633027,0.05200385217233601,0.0003514242125675082,4.227124009048566e-05,2.5740845899235865e-07,6.91928159213262e-09,471.79693245887756,4696.84215593338,burgers1d_PSO
4,50,0.042189611303715915,0.058737337015451564,0.018058623283091924,0.0375157586121464,0.0010279698763042688,0.0001888737897388637,2.3633760974917095e-06,1.3271498744416022e-07,306.22214245796204,5979.596347570419,burgers1d_PSO
5,60,0.04683132492777523,0.05194750294420018,0.02960195438051563,0.03916266110554366,0.0008889529854059219,0.00011969791376031935,1.3927901818533428e-06,5.977262418355167e-08,707.5128722190857,13002.170387268066,burgers1d_PSO
6,70,0.08485450756784386,0.056095299369494624,0.0750666419962521,0.034588685556358766,0.0008706079097464681,0.00013996020425111055,2.639830881889793e-06,8.767419501509721e-08,814.3396556377411,16039.318254470825,burgers1d_PSO
7,80,0.05324256266009078,0.057472214567139836,0.029589851793784414,0.03835907646507165,0.0015512086683884263,0.0002705561928451061,4.661803359340411e-06,2.0127548339132773e-07,1131.1026403903961,18251.673206329346,burgers1d_PSO
8,90,0.11934293453767562,0.17793687704995378,0.11289464823928781,0.17682837927031347,0.0020604536402970552,0.0006040918524377048,2.248908276669681e-05,6.665724754384428e-07,1842.5590856075287,19625.378045082092,burgers1d_PSO
