,Unnamed: 0,grid_res,error_train,error_test,loss_adam,lu_f_adam,time_adam,type
0,0,10,0.0123248077399876,0.1243952616518946,1.4740836377313826e-05,2.2333384031014702e-09,406.7760000228882,burgers1d_PINN
1,1,20,0.0173298454911099,0.0846115530436094,6.355415098369122e-05,1.5067977088278894e-08,406.0639977455139,burgers1d_PINN
2,2,30,0.019327785158052,0.0721060997514062,0.0002018588129431,1.0138505501799957e-07,483.1760005950928,burgers1d_PINN
3,3,40,0.0156751091342168,0.050097029442155,0.000136483402457,7.968218795895154e-08,657.0049998760223,burgers1d_PINN
4,4,50,0.0490162431885114,0.0578621364146241,0.0013243969297036,3.067711531912209e-06,327.18699955940247,burgers1d_PINN
5,5,60,0.0386308577033117,0.0475889554007266,0.0005565995816141,7.798372507750173e-07,402.7180006504059,burgers1d_PINN
6,6,70,0.0774560102122074,0.0440359901357302,0.0003836808027699,4.034403957575705e-07,542.6569998264313,burgers1d_PINN
7,7,80,0.0419552177925399,0.0530356979190572,0.0009123985073529,2.019598014157964e-06,363.9539992809296,burgers1d_PINN
8,8,90,0.0609447687738144,0.0695860724596478,0.0014627098571509,9.966349352907857e-06,398.29499864578247,burgers1d_PINN
9,9,100,0.0347187764316475,0.0457544592645824,0.0005467162118293,1.4087264617046458e-06,505.1789991855621,burgers1d_PINN
