,grid_res,error_train,error_test,loss_adam,lu_f_adam,time_adam,type
0,10,0.0308114774525165,0.0654448121786117,0.0007451518322341,4.495743222143744e-10,3022.999318122864,kdv_PINN_KAN
1,20,0.0390328429639339,0.0411657579243183,0.0004756418347824,1.6137999381271584e-08,3384.099428892136,kdv_PINN_KAN
2,30,0.0450479984283447,0.0454056859016418,0.0003299001255072,1.3587023950378809e-08,4433.0257749557495,kdv_PINN_KAN
3,40,0.060317363590002,0.0606793984770774,0.0002996096736751,4.861480107365424e-08,2690.2655024528503,kdv_PINN_KAN
4,50,0.0348546020686626,0.034941516816616,0.0002556759864091,3.0950722873512866e-08,3370.834254026413,kdv_PINN_KAN
5,60,0.0261440556496381,0.0261815283447504,0.0004456920723896,3.481590127307754e-08,2702.603917360306,kdv_PINN_KAN
6,70,0.0394421145319938,0.0394897125661373,0.0002025668509304,7.29069284943762e-08,3708.517126083374,kdv_PINN_KAN
7,80,0.047815952450037,0.0478564240038394,0.0003169622796121,7.073144274727383e-07,2800.04034781456,kdv_PINN_KAN
8,90,0.0285813082009553,0.0285866409540176,0.000226821983233,3.537833777045307e-07,4813.728382110596,kdv_PINN_KAN
9,100,0.033013466745615,0.0330103896558284,0.0002300599589943,1.3469957593770232e-07,3175.944753885269,kdv_PINN_KAN
