,grid_res,error_adam_train,error_adam_test,error_LBFGS_train,error_LBFGS_test,error_NNCG_train,error_NNCG_test,loss_adam,loss_LBFGS,loss_NNCG,lu_f_adam,lu_f_LBFGS,lu_f_NNCG,time_adam,time_LBFGS,time_NNCG,type
0,10,0.003670215606689453,0.0036610299721360207,0.0035751366522163153,0.00367734394967556,0.003701686393469572,0.00527765229344368,5.6979351938935e-06,5.6323488024645485e-06,4.576584615278989e-06,2.7172337296876847e-11,2.7690983187000917e-11,9.117907817657311e-12,25.920427799224854,0.8561234474182129,641.4905016422272,burgers1d_adam_lbfgs_nncg
1,20,0.0027188335079699755,0.000797308050096035,0.002814734121784568,0.0008452518377453089,0.002513500628992915,0.0004024730296805501,3.824602572422009e-06,3.775798859351198e-06,2.879157591451076e-06,3.430336223408936e-11,3.36857659821721e-11,4.0793739913835836e-12,24.413896322250366,1.3166511058807373,788.6028230190277,burgers1d_adam_lbfgs_nncg
2,30,0.002531160367652774,0.00039549582288600504,0.0026491056196391582,0.00039951183134689927,0.002303754910826683,0.00025147185078822076,3.655738964880584e-06,3.454479156062007e-06,2.4595397007942665e-06,4.093761094003945e-11,4.0963992614662104e-11,4.477054144080839e-12,38.12739038467407,1.7547094821929932,1128.8668329715729,burgers1d_adam_lbfgs_nncg
3,40,0.002561740344390273,0.0002717434545047581,0.0025885237846523523,0.0001785712520359084,0.0022257871460169554,0.00033995299600064754,3.224303554816288e-06,3.242209004383767e-06,2.29788793149055e-06,1.653184186767298e-11,1.6802797001003178e-11,4.162894855219701e-12,155.68940806388855,4.046180725097656,1854.690312385559,burgers1d_adam_lbfgs_nncg
4,50,0.0028913479764014482,0.0005562956794165075,0.0028325121384114027,0.000425919599365443,0.0020752937998622656,0.00020021505770273507,4.166379767411854e-06,4.119635377719533e-06,1.987625864785514e-06,7.956196118596992e-11,8.184783406584017e-11,3.5362259995230794e-12,96.20904779434204,5.549063682556152,2448.729703426361,burgers1d_adam_lbfgs_nncg
5,60,0.002477725502103567,0.00029448169516399503,0.0025675457436591387,0.00016935986059252173,0.002124215941876173,0.0002949465124402195,3.3343530958518386e-06,3.2380428365286207e-06,2.150515229004668e-06,1.3817780253333467e-11,1.396104759576744e-11,4.715402981275707e-12,252.4293818473816,6.909271717071533,2901.498019695282,burgers1d_adam_lbfgs_nncg
6,70,0.002491282531991601,0.000371207861462608,0.0024775785859674215,0.00026684923795983195,0.002017849124968052,0.000222872564336285,2.8887666303489823e-06,2.8834645036113216e-06,1.8167544340030872e-06,1.5949417134231147e-11,1.641644459260405e-11,3.5153744065014036e-12,338.49967193603516,8.98457407951355,3645.310800552368,burgers1d_adam_lbfgs_nncg
7,80,0.0023366555105894804,0.000518225715495646,0.002326608169823885,0.0003973997081629932,0.0019781060982495546,0.00029543775599449873,2.817040240188362e-06,2.8399038001225563e-06,1.8081620964949252e-06,1.691811968296264e-11,1.733066121167859e-11,2.159067846382867e-12,376.7951765060425,11.450537919998169,4564.136834383011,burgers1d_adam_lbfgs_nncg
8,90,0.0024731785524636507,0.000653285242151469,0.0024089382495731115,0.0004868916003033519,0.0019728487823158503,0.0003918664588127285,3.0556905130652012e-06,2.961136488011107e-06,1.8038873577097547e-06,7.256899942076345e-11,7.664366363790975e-11,3.707731604379871e-12,386.0787329673767,14.163112878799438,4057.44557261467,burgers1d_adam_lbfgs_nncg
9,100,0.002386974636465311,0.0004539085493888706,0.002424136968329549,0.0005747872055508196,0.001959528774023056,0.0001951350859599188,2.8947547434654552e-06,2.8432762064767303e-06,1.7940539009941858e-06,1.190013712570881e-11,1.2168764260134246e-11,2.9942886278083725e-12,429.79659843444824,10.922505140304565,4665.9812343120575,burgers1d_adam_lbfgs_nncg
