,grid_res,time,type
0,10,53.756195068359375,wave_eqn
1,10,44.23414731025696,wave_eqn
2,10,46.9275484085083,wave_eqn
3,10,54.017372131347656,wave_eqn
4,10,44.63834095001221,wave_eqn
5,10,74.52832245826721,wave_eqn
6,10,62.82274150848389,wave_eqn
7,10,49.16237282752991,wave_eqn
8,10,57.84593987464905,wave_eqn
9,10,69.55800795555115,wave_eqn
10,20,75.20246934890747,wave_eqn
11,20,46.32888388633728,wave_eqn
12,20,46.22168493270874,wave_eqn
13,20,76.4798686504364,wave_eqn
14,20,68.05776691436768,wave_eqn
15,20,50.944437742233276,wave_eqn
16,20,48.79564046859741,wave_eqn
17,20,53.07637619972229,wave_eqn
18,20,70.4027407169342,wave_eqn
19,20,65.61755084991455,wave_eqn
20,30,61.80368375778198,wave_eqn
21,30,77.3416736125946,wave_eqn
22,30,95.1802396774292,wave_eqn
23,30,81.35757899284363,wave_eqn
24,30,71.94847989082336,wave_eqn
25,30,69.0291075706482,wave_eqn
26,30,85.68980121612549,wave_eqn
27,30,72.90479016304016,wave_eqn
28,30,84.15046048164368,wave_eqn
29,30,84.63930177688599,wave_eqn
30,40,93.28572702407837,wave_eqn
31,40,96.23134660720825,wave_eqn
32,40,84.31239819526672,wave_eqn
33,40,115.11782836914062,wave_eqn
34,40,108.71934366226196,wave_eqn
35,40,61.67751383781433,wave_eqn
36,40,90.13615846633911,wave_eqn
37,40,112.73520135879517,wave_eqn
38,40,82.79561161994934,wave_eqn
39,40,105.23265862464905,wave_eqn
40,50,155.38245677947998,wave_eqn
41,50,155.8425407409668,wave_eqn
42,50,147.72927045822144,wave_eqn
43,50,102.6390323638916,wave_eqn
44,50,158.21579909324646,wave_eqn
45,50,110.50214862823486,wave_eqn
46,50,147.696781873703,wave_eqn
47,50,123.43654036521912,wave_eqn
48,50,149.65435457229614,wave_eqn
49,50,146.27564406394958,wave_eqn
50,60,607.4146404266357,wave_eqn
51,60,352.93960309028625,wave_eqn
52,60,502.4990358352661,wave_eqn
53,60,264.50449419021606,wave_eqn
54,60,436.0860743522644,wave_eqn
55,60,436.56593656539917,wave_eqn
56,60,525.6981678009033,wave_eqn
57,60,464.8016610145569,wave_eqn
58,60,430.02824115753174,wave_eqn
59,60,598.0518703460693,wave_eqn
60,70,557.5169205665588,wave_eqn
61,70,770.04740691185,wave_eqn
62,70,476.8982586860657,wave_eqn
63,70,622.63716340065,wave_eqn
64,70,622.6599175930023,wave_eqn
65,70,505.5272707939148,wave_eqn
66,70,714.138516664505,wave_eqn
67,70,631.875574350357,wave_eqn
68,70,742.0521066188812,wave_eqn
69,70,430.4920160770416,wave_eqn
70,80,890.6049501895905,wave_eqn
71,80,736.9155280590057,wave_eqn
72,80,982.1629612445831,wave_eqn
73,80,1042.122158050537,wave_eqn
74,80,584.8057172298431,wave_eqn
75,80,914.8794400691986,wave_eqn
76,80,503.0820016860962,wave_eqn
77,80,643.8160378932953,wave_eqn
78,80,959.6457018852234,wave_eqn
79,80,678.7894656658173,wave_eqn
80,90,941.1161963939667,wave_eqn
81,90,1148.4220523834229,wave_eqn
82,90,1311.4832065105438,wave_eqn
83,90,985.4024677276611,wave_eqn
84,90,775.6245582103729,wave_eqn
85,90,1177.8824927806854,wave_eqn
86,90,1088.3318037986755,wave_eqn
87,90,866.36976146698,wave_eqn
88,90,880.0473487377167,wave_eqn
89,90,1505.4479594230652,wave_eqn
90,100,950.7155921459198,wave_eqn
91,100,1322.2644109725952,wave_eqn
92,100,1267.4218895435333,wave_eqn
93,100,1448.8806810379028,wave_eqn
94,100,724.3511600494385,wave_eqn
95,100,1577.0812330245972,wave_eqn
96,100,961.6514971256256,wave_eqn
97,100,1194.464122056961,wave_eqn
98,100,1231.0161981582642,wave_eqn
99,100,1195.9173431396484,wave_eqn
