,grid_res,l2_norm,c2_norm,type
0,3,0.00022379035,0.003322363,Poisson
1,3,0.00014876995,0.002139032,Poisson
2,3,1.21242565e-05,0.0002232492,Poisson
3,3,5.0358653e-05,0.00020401739,Poisson
4,3,0.00014275026,0.0021784008,Poisson
5,4,2.881786e-06,4.0605664e-05,Poisson
6,4,6.27079e-05,9.511411e-05,Poisson
7,4,2.0388894e-05,5.6371093e-05,Poisson
8,4,4.983256e-05,0.0005646348,Poisson
9,4,1.852792e-05,4.8801303e-05,Poisson
10,5,8.9369845e-05,0.0002283603,Poisson
11,5,9.858459e-05,0.0004324913,Poisson
12,5,7.899021e-06,9.87947e-05,Poisson
13,5,0.000119513104,0.0005482435,Poisson
14,5,3.6643418e-05,0.00015711784,Poisson
15,6,2.8998113e-05,0.00022006035,Poisson
16,6,1.5555894e-05,0.00024449825,Poisson
17,6,2.1645187e-06,0.0001912117,Poisson
18,6,7.5553335e-06,5.096197e-05,Poisson
19,6,3.9117817e-06,0.00019261241,Poisson
20,7,3.0306417e-05,0.00014796853,Poisson
21,7,8.297006e-06,3.8802624e-05,Poisson
22,7,9.9473174e-05,0.00029835105,Poisson
23,7,2.5229057e-05,0.00034809113,Poisson
24,7,7.740221e-05,0.00015936233,Poisson
25,8,8.731957e-06,0.00017278641,Poisson
26,8,0.00021045818,0.00030361116,Poisson
27,8,3.6637044e-05,4.7892332e-05,Poisson
28,8,2.451105e-06,0.00023448467,Poisson
29,8,2.2581427e-05,0.00021594763,Poisson
30,9,3.2176008e-06,0.0001725778,Poisson
31,9,3.7228533e-06,0.00030057132,Poisson
32,9,9.593469e-06,7.9244375e-05,Poisson
33,9,5.5038363e-06,0.00011655688,Poisson
34,9,2.2680997e-05,0.0002515018,Poisson
35,10,3.207933e-05,7.0005655e-05,Poisson
36,10,4.8501447e-06,0.00041145086,Poisson
37,10,2.1825526e-05,0.00016158819,Poisson
38,10,8.543922e-05,0.00020503998,Poisson
39,10,1.6199838e-05,8.150935e-05,Poisson
40,10,3.8680613e-05,0.0003210008,Poisson
41,10,8.378598e-05,0.00029149652,Poisson
42,10,0.00029892338,0.00044995546,Poisson
43,10,8.94596e-06,0.00019949675,Poisson
44,10,2.821951e-06,0.00017486513,Poisson
45,20,2.4302386e-05,0.00011125207,Poisson
46,20,0.00017104059,0.00063516945,Poisson
47,20,3.082794e-05,9.894371e-05,Poisson
48,20,3.5738633e-06,0.00019270182,Poisson
49,20,3.1874229e-06,0.0001065135,Poisson
50,30,4.197931e-06,0.00016255677,Poisson
51,30,0.0002482003,0.00036545843,Poisson
52,30,2.8003276e-05,0.00019517913,Poisson
53,30,0.00017155394,0.00018268824,Poisson
54,30,1.6018646e-05,0.00043696165,Poisson
55,40,0.0011141114,0.0006030798,Poisson
56,40,0.0002991381,0.0001436472,Poisson
57,40,0.0034771252,0.0017748475,Poisson
58,40,1.3703767e-05,0.0002219677,Poisson
59,40,4.588042e-05,0.000345245,Poisson
60,50,0.002524634,0.0011833161,Poisson
61,50,0.0007579198,0.0003822893,Poisson
62,50,0.0002550014,0.00027812645,Poisson
63,50,4.5277147e-06,0.00026747584,Poisson
64,50,0.0009230617,0.0004363358,Poisson
65,60,8.140626e-06,0.00019595772,Poisson
66,60,0.0015607523,0.0008456111,Poisson
67,60,0.00058613584,0.0002914667,Poisson
68,60,1.6027897e-06,0.00015927106,Poisson
69,60,0.0006443712,0.00043457747,Poisson
70,70,0.0008458054,0.0008614147,Poisson
71,70,0.0014796886,0.0010719448,Poisson
72,70,0.0018155642,0.00155285,Poisson
73,70,0.00021728185,0.0004363954,Poisson
74,70,3.933367e-06,0.0001895912,Poisson
75,80,0.00022377344,0.00026231632,Poisson
76,80,2.890692e-06,0.00017876923,Poisson
77,80,1.115723e-05,0.000115862116,Poisson
78,80,0.0012455782,0.0006354302,Poisson
79,80,0.00016773048,0.00036109332,Poisson
80,90,0.0003507486,0.00054197945,Poisson
81,90,0.00018111136,0.00032087322,Poisson
82,90,4.0671916e-06,0.00016574562,Poisson
83,90,0.0030483434,0.002041027,Poisson
84,90,5.126582e-06,0.0002033133,Poisson
85,100,7.6073185e-05,0.0003206879,Poisson
86,100,1.077944e-05,0.00015599933,Poisson
87,100,0.00016334388,0.00019709766,Poisson
88,100,7.3045067e-06,0.00016753376,Poisson
89,100,3.0191633e-05,0.00021124631,Poisson
