,grid_res,l2_loss,lu_f,lu,l2_norm,c2_norm,type
0,2,[1.1737774e-11],2.2801996835825067e-12,1.189092158071503e-09,70.710625,171.48083,Poisson
1,5,[4.1366234e-06],4.961088507116074e-06,12468.591796875,101.27549,212.601,Poisson
2,8,[2.5714417e-06],2.8901845325890463e-06,12468.1455078125,81.891655,218.72784,Poisson
3,10,[1.824832e-05],1.9886254449374974e-05,12468.1064453125,227.84056,294.78607,Poisson
4,40,[1.4007859e-05],1.2658071682380978e-05,12468.34765625,0.0448587,16.810844,Poisson
5,70,[0.00070096],0.0007088506827130914,12468.3193359375,0.08070251,0.6427583,Poisson
6,100,[1.9031733],0.19444209337234497,12454.408203125,74.362946,6.9416075,Poisson
7,400,[13.217772],1.2994327545166016,12430.802734375,197.90616,19.731289,Poisson
8,700,[0.02298713],0.014431493356823921,12467.7919921875,7.569109,1.4529436,Poisson
9,1000,[0.9934847],0.03248687833547592,12467.40625,63.18632,5.813867,Poisson
10,4000,[4.2357335],0.45824185013771057,12448.3037109375,111.633644,14.773949,Poisson
11,7000,[17.731058],1.7104421854019165,12422.8193359375,230.32556,21.28439,Poisson
12,10000,[0.00055834],0.0005519244587048888,12468.4736328125,0.07985037,0.24546294,Poisson
