,grid_res,l2_loss,l2_norm,c2_norm,type
0,2,[0.00048],3.3163424,0.7198601,Poisson
1,3,[0.00025279],0.9151307,0.29995793,Poisson
2,4,[0.00038798],0.72780806,0.26971486,Poisson
3,5,[0.00016925],0.9736435,0.29018283,Poisson
4,6,[0.0739744],1.0505661,0.27069366,Poisson
5,7,[0.06208699],0.8401892,0.2325874,Poisson
6,8,[0.05342587],0.71200925,0.2280784,Poisson
7,9,[0.04712927],0.63395524,0.1850437,Poisson
8,10,[0.0414056],0.53940517,0.18227816,Poisson
9,20,[0.01758797],0.22278294,0.08900267,Poisson
10,30,[0.01020611],0.13088879,0.063331395,Poisson
11,40,[0.00684635],0.086825825,0.046669036,Poisson
12,50,[0.0050067],0.06470172,0.03707108,Poisson
13,60,[0.00386589],0.049931098,0.032345057,Poisson
14,70,[0.00310408],0.040161476,0.028232127,Poisson
15,80,[0.00256255],0.033561133,0.024721935,Poisson
16,90,[0.00215884],0.028576693,0.022089452,Poisson
17,100,[0.00185679],0.025097128,0.02063939,Poisson
18,200,[0.00067506],0.008892071,0.010426834,Poisson
19,300,[0.00037182],0.004864945,0.0075276345,Poisson
20,400,[0.00024624],0.0036261172,0.004270822,Poisson
21,500,[0.00017692],0.0024353703,0.0032205433,Poisson
22,600,[0.00013535],0.0018993007,0.0015487224,Poisson
23,700,[0.00010743],0.0017568734,0.0013874918,Poisson
24,800,[8.806055e-05],0.0012434191,0.0009583533,Poisson
25,900,[7.383629e-05],0.002145584,0.00086185336,Poisson
26,1000,[6.307187e-05],0.00094994454,0.000676319,Poisson
27,2000,[2.2335267e-05],0.0005154665,0.00024157763,Poisson
28,3000,[1.216359e-05],0.00056276907,0.00011712313,Poisson
29,4000,[7.902401e-06],0.0005725853,0.0001835227,Poisson
30,5000,[5.654862e-06],0.00073777937,0.00012773275,Poisson
31,6000,[4.303178e-06],0.0012761723,0.00017386675,Poisson
32,7000,[3.4145214e-06],0.0003925282,0.00013542175,Poisson
33,8000,[2.7953233e-06],0.00031022597,0.00014334917,Poisson
34,9000,[2.3423313e-06],0.0005434572,0.000114917755,Poisson
35,10000,[2.0000482e-06],0.0003712157,0.00011211634,Poisson
36,100000,[6.340894e-08],0.00017329329,3.373623e-05,Poisson
